2026-04-13 18:43:51,229 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4121
2026-04-13 18:43:51,231 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4122
2026-04-13 18:43:51,232 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4123
2026-04-13 18:43:51,232 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4124
2026-04-13 18:43:51,234 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4125
2026-04-13 18:43:51,236 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4126
2026-04-13 18:43:51,238 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4127
2026-04-13 18:43:51,239 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4128
2026-04-13 18:43:51,240 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4129
2026-04-13 18:43:51,243 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4130
2026-04-13 18:43:51,244 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4131
2026-04-13 18:43:51,245 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4132
2026-04-13 18:43:51,245 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4133
2026-04-13 18:43:51,246 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4134
2026-04-13 18:43:51,247 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4135
2026-04-13 18:43:51,247 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4136
2026-04-13 18:43:51,248 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4137
2026-04-13 18:43:51,248 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4138
2026-04-13 18:43:51,249 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4139
2026-04-13 18:43:51,250 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4140
2026-04-13 18:43:51,250 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4141
2026-04-13 18:43:51,251 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4142
2026-04-13 18:43:51,251 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4143
2026-04-13 18:43:51,252 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4144
2026-04-13 18:43:51,252 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4145
2026-04-13 18:43:51,253 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4146
2026-04-13 18:43:51,254 | kafka_producer | INFO | Delivered to topic=transactions partition=0 offset=4147
2026-04-13 18:43:51,254 | kafka_producer | INFO | Sent batch of 50 events to topic 'transactions'
2026-04-13 18:43:52,265 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4801
2026-04-13 18:43:52,266 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4802
2026-04-13 18:43:52,266 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4803
2026-04-13 18:43:52,267 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4804
2026-04-13 18:43:52,268 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4805
2026-04-13 18:43:52,269 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4806
2026-04-13 18:43:52,269 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4807
2026-04-13 18:43:52,270 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4808
2026-04-13 18:43:52,274 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4809
2026-04-13 18:43:52,275 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4810
2026-04-13 18:43:52,275 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4811
2026-04-13 18:43:52,276 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4812
2026-04-13 18:43:52,277 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4813
2026-04-13 18:43:52,278 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4814
2026-04-13 18:43:52,279 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4815
2026-04-13 18:43:52,279 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4816
2026-04-13 18:43:52,280 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4817
2026-04-13 18:43:52,281 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4818
2026-04-13 18:43:52,281 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4819
2026-04-13 18:43:52,282 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4820
2026-04-13 18:43:52,282 | kafka_producer | INFO | Delivered to topic=transactions partition=3 offset=4821
